100 1000
-70 -74 34
88 95 100
-40 -43 87
50 87 -12
34 23 74
-20 -55 25
60 19 13
-6 34 35
16 88 -70
-88 -38 -90
-6 5 58
-4 93 23
44 -62 79
1 83 100
-90 -54 -49
-37 -8 -18
-22 -81 -95
24 -34 -18
32 10 -57
70 -96 72
70 -2 53
41 -44 92
-28 -79 -51
25 -14 -100
-95 16 43
38 -99 -40
14 29 5
47 39 -96
-22 -27 59
-57 -46 47
12 4 -26
17 -75 -97
-68 14 -20
-51 -33 -80
54 -96 8
-38 -77 85
-84 93 -97
40 -36 -74
65 52 -52
-40 -66 3
80 48 85
62 32 29
95 44 -24
88 -44 -89
-21 -99 -19
-64 -96 6
-43 99 -73
-54 -98 -48
-17 13 -78
54 33 36
-8 -50 -62
35 -26 29
64 -16 -82
86 1 9
50 -80 -17
86 -66 -31
-93 30 53
67 96 -29
48 -27 -63
30 -1 -98
-76 -45 -21
19 95 -35
9 63 -87
-33 -8 35
97 -85 -25
66 17 44
88 3 -61
-80 42 -25
-36 -63 -71
-64 -12 16
-35 -91 94
-40 95 -14
-83 76 39
52 12 69
14 100 -36
65 47 73
41 24 -58
94 -82 15
-72 -97 -84
68 1 75
-34 -58 50
-24 93 30
-36 -41 44
-40 -26 -54
-53 -58 88
41 27 6
-79 -70 -28
21 -22 -84
68 -83 12
54 -9 69
-99 -69 10
4 55 58
24 -97 -43
13 56 -55
35 -82 74
39 -14 -100
85 -62 81
24 -1 -1
-53 5 -60
-26 -18 -37
-61 15 38
49 21 -64
-33 5 -59
-28 69 -70
-42 -75 -6
2 90 -91
-33 100 -1
-58 49 18
70 -70 29
-19 -86 -81
55 8 -1
22 -89 -91
35 26 -62
-43 92 -21
-55 -43 -31
35 -9 -81
-45 -46 23
26 -36 -93
-97 -31 50
-13 -90 -49
-29 -58 77
-98 -40 -6
-83 24 37
-18 54 -25
-51 -11 -43
65 42 12
-11 -91 56
17 82 59
7 2 -75
66 -67 70
35 37 7
-98 61 71
-87 9 -78
37 94 47
-68 -97 41
-96 51 -3
31 -26 91
-62 35 96
36 -52 21
-1 -62 75
15 -29 -53
-26 -34 78
-50 52 -61
100 -30 29
-100 90 77
-67 -85 -60
-77 72 -39
85 91 -76
-82 -51 -29
65 59 -45
70 78 -58
-43 73 -96
-66 50 -68
59 -3 -64
39 -15 -34
-31 70 60
96 14 -19
30 93 -44
8 -14 -14
97 -57 100
70 -96 -90
-70 -9 -5
96 15 65
-52 -11 39
-94 27 46
-95 7 57
-96 85 -61
83 -74 -96
-6 67 -64
-91 -91 62
94 2 -45
52 89 -48
76 -57 30
-43 -50 -2
65 73 12
-43 -41 -60
-59 -29 98
-95 -57 26
54 72 -81
-20 -68 -4
-30 -87 95
-59 -9 99
-14 31 48
-59 79 -8
54 -8 -76
-3 -9 -27
87 -7 -24
52 2 -11
93 1 -51
-82 -88 -29
52 19 24
15 -83 8
30 -95 45
79 -27 -61
87 85 83
40 -49 45
-56 86 -84
-47 56 -43
-51 -90 51
57 43 -15
-59 -10 -65
82 -17 61
-64 -64 100
71 78 -30
-13 18 80
80 38 48
-96 25 -100
-12 -44 -85
33 97 19
42 -64 -87
95 36 -59
38 16 -18
-99 81 -7
-36 24 -53
10 -26 57
-72 -81 86
-90 -45 89
-71 -42 -80
-19 -39 -51
85 89 -36
-25 -99 14
-48 -63 -11
-58 41 87
-100 90 47
-85 -51 -44
69 -93 77
54 64 20
70 10 81
33 -1 -21
-14 -30 -29
-51 -45 -19
-5 48 40
94 -49 -71
51 -60 30
-49 89 -7
-55 -70 4
71 12 27
41 -65 -27
-17 42 -79
-60 66 5
-68 -33 9
-77 95 -52
-43 -45 -81
94 -99 -29
10 -3 -39
-50 69 -47
-21 -59 -15
-40 55 -16
-58 36 -47
84 4 -34
49 -1 -17
50 22 4
-22 44 -78
-63 71 94
-62 25 -67
-60 94 87
58 -47 -96
-18 97 -93
-24 -61 -4
64 35 -35
50 -19 5
5 -93 45
5 57 -27
-28 55 97
46 -27 -3
-33 58 47
-61 -28 54
41 -85 11
49 -14 78
-64 -25 -55
55 -79 43
-78 -28 -55
-76 -91 -95
-24 -91 97
-50 94 -55
-52 -88 25
-60 -84 7
-68 37 -47
10 26 58
-71 -86 84
-65 53 -69
33 31 67
5 -72 95
76 -39 8
74 58 -94
51 -79 61
-32 27 -12
-99 78 61
91 -80 -88
80 -64 25
-29 67 30
-59 -72 74
-30 -4 46
-83 4 -69
-48 -56 37
72 -59 77
-18 -100 -71
28 -97 -11
-99 83 -54
-48 55 15
-87 -61 -29
84 -23 -38
8 97 -48
50 51 3
-39 -56 6
36 12 89
84 37 -59
3 -92 -21
-9 -89 -58
62 -41 41
42 42 24
-45 53 -17
-60 -28 -73
-41 -75 39
72 80 20
-62 -47 18
-84 29 -96
-51 67 -57
-30 19 -30
-88 -8 -16
-38 91 -83
6 23 58
82 24 37
-90 28 -74
-16 -9 -31
5 -57 56
-7 -9 98
-98 -73 30
-4 32 -78
-92 -70 71
-29 -24 -73
76 -95 60
50 -74 -82
36 -73 21
75 46 16
48 -94 81
5 -97 -92
90 -18 -68
-17 -88 73
-42 -24 -43
6 -83 -64
68 -22 66
-25 59 21
-92 80 29
91 98 60
-53 -33 67
1 15 2
39 -38 19
-74 -46 94
8 47 50
49 74 40
77 78 -65
23 -9 -52
70 41 82
93 70 -47
-97 -24 -76
-62 -6 96
70 77 -30
56 -58 -67
-82 -80 50
-25 73 17
62 -52 -17
41 -69 67
97 49 -70
97 78 -6
-54 73 -30
73 -19 -62
27 -24 71
-97 -63 -25
-64 -36 -48
-19 23 -26
-84 48 -79
-88 -63 -52
52 -3 -44
-51 99 -51
30 -99 -13
9 79 -50
-64 65 52
-10 -15 -21
-91 69 8
40 41 -94
18 52 -9
56 -42 -2
-40 -47 27
17 -90 11
56 91 43
-4 89 -12
12 -72 -92
-97 88 37
-63 35 -90
-5 -98 -97
30 57 59
-66 87 75
62 -9 -67
-67 -50 -36
-98 -35 -87
-91 -83 -86
15 -15 41
31 -65 -55
-87 63 73
26 -90 -21
-43 -93 10
70 81 -28
25 -75 -100
-71 -53 -26
83 99 -64
48 33 35
22 17 -39
27 -6 4
-33 -96 -59
-13 -24 -65
33 49 -8
-59 38 34
24 -91 -12
86 -73 -32
-6 -76 59
20 55 61
-2 -42 98
-14 -87 -2
-3 -46 24
-57 26 9
23 31 -47
91 -14 -38
8 84 -8
44 27 36
19 78 -24
31 18 -75
56 -16 50
-80 -57 2
51 -77 39
-27 3 4
94 76 99
-28 -19 75
48 24 68
19 -27 -47
-6 -73 80
38 -65 37
67 -22 10
53 2 -61
57 -91 -26
47 -13 44
-50 -17 -98
82 -72 100
2 -91 -32
76 34 71
-6 47 92
-61 74 -59
34 86 98
91 -89 54
-35 -60 46
-84 2 -20
-71 38 10
-67 40 -4
41 88 26
-53 22 33
45 -70 45
-91 22 -10
76 -77 -32
55 -26 5
36 -16 73
76 15 -64
87 25 82
-90 62 -75
-50 16 -23
31 82 67
93 -71 39
-17 -40 -84
-78 -33 -43
83 -87 19
-23 19 -46
9 79 -48
65 94 -8
80 2 76
-70 -87 13
-18 58 42
73 -93 -81
19 56 5
-41 1 48
89 -38 74
-84 88 -78
97 -31 -4
-81 -60 -86
4 1 71
-83 -65 86
-74 80 62
90 11 -47
-83 89 67
58 4 25
6 85 32
-60 -90 66
52 -9 -79
-29 -86 55
46 -22 70
-27 -5 96
-32 -41 50
-24 -17 15
-91 8 63
-80 -78 -61
-98 -25 1
90 79 5
92 80 -12
-55 -89 30
-80 -64 61
-55 -15 -65
51 -99 -88
-60 -34 38
-85 100 -59
29 90 47
-19 -60 80
100 30 -10
-4 -47 59
34 -28 21
-14 -28 92
4 26 -43
39 86 -43
88 67 82
70 -73 -100
-39 41 15
-91 93 -34
73 80 96
-5 -19 -69
100 20 -90
16 84 45
-39 20 -3
-70 29 84
23 58 63
46 -67 -38
-35 84 -61
-68 -67 -34
92 95 -5
-47 18 72
-34 94 -85
56 35 -89
72 98 -95
59 -86 61
-83 -21 14
-32 -13 -47
59 68 -45
92 -64 10
20 -99 -24
-99 -17 -59
62 29 -19
-71 81 -74
46 97 54
-71 25 34
28 -6 50
-79 -58 37
-86 4 48
42 95 55
-95 -77 46
19 93 22
40 -4 10
-24 -50 12
60 91 -43
6 73 -8
95 -44 -54
-80 -68 -41
75 24 -46
73 -40 -11
11 24 -1
-54 -61 33
13 58 95
-60 -17 96
-22 -67 87
47 45 85
57 -92 -86
82 -88 81
92 54 27
69 74 12
-65 -9 -32
58 34 -56
-26 -68 79
47 92 29
5 69 85
-90 90 61
-95 13 -20
-47 9 61
-18 -61 11
-30 39 -93
29 -75 -31
-44 57 5
-28 -76 -20
-28 95 -45
77 -20 23
41 -97 -22
-6 56 72
42 -14 -88
-5 22 2
-56 -92 97
90 17 4
-17 6 23
87 29 84
-84 -30 -40
-23 13 22
-83 47 1
-41 -63 -44
76 4 -81
19 27 73
-82 -61 64
56 44 97
55 -64 -36
-57 88 66
47 -84 35
39 -54 -10
-84 -62 -70
-75 100 -45
49 97 61
-56 -97 -32
98 -98 24
-19 76 85
-42 -70 1
-27 -67 36
-88 38 -33
66 42 -32
23 71 82
-95 18 16
82 18 69
27 -48 -92
-85 -62 72
43 95 96
73 3 6
-60 -11 -86
-86 87 81
-18 -86 43
76 -55 3
-50 92 -68
-21 87 8
-14 88 30
-81 -33 -78
-28 64 27
-36 -44 32
-27 -90 -88
-36 42 -5
-43 -18 -3
54 -51 64
-87 58 -77
-41 -93 19
79 85 -81
43 77 50
-58 61 72
89 74 39
87 -56 14
63 -80 64
91 -83 -17
98 -87 85
86 19 71
-13 -89 40
94 -45 52
85 -65 -60
3 58 -20
-3 16 68
-31 -47 53
72 91 71
-28 87 77
77 7 73
-28 -87 48
33 -38 48
-16 88 39
99 -16 13
-82 -23 -27
18 22 -1
-10 -99 15
89 17 -39
-37 76 25
47 29 -98
68 -12 23
10 48 83
-5 -95 -2
79 73 -93
-42 55 60
28 -71 68
-3 29 -36
-16 85 65
47 -75 -49
16 58 -63
25 96 81
-41 -44 84
-32 24 61
-54 83 25
47 25 65
24 29 -37
-87 43 -97
65 77 -48
-80 95 32
45 63 33
-9 -69 -28
50 33 -47
74 -61 51
39 12 -44
5 -25 -61
-98 65 10
-70 61 54
35 -23 -30
6 -55 5
-63 -41 80
-96 70 -43
8 41 -18
79 -74 -98
-26 74 -23
-81 -39 24
-22 47 -34
-26 -4 -61
-13 24 -40
-40 -75 -48
91 86 -100
51 -31 69
37 -57 -12
65 -59 9
9 66 -65
-84 -92 88
-29 -17 -35
27 -82 16
3 -17 68
-63 77 -64
-41 48 -68
75 -25 59
-31 -35 19
-58 81 -85
-3 81 75
-24 -94 -98
-58 9 -19
93 -3 -14
-28 -45 -96
-61 -28 82
-88 -20 -28
-94 45 70
-72 65 93
-46 52 -81
-22 -49 85
2 -87 4
-42 54 -50
-1 -89 46
-94 -54 84
96 78 6
26 85 32
-29 37 11
-8 -11 28
-30 -3 70
-20 -95 -8
-62 12 -96
85 -20 9
-59 -92 -65
28 92 -80
-68 77 99
66 -69 5
-24 -44 62
24 -72 40
-86 -33 49
41 -14 81
-4 23 -75
40 -20 -40
-38 52 -82
-97 13 -99
-45 -80 -59
26 -11 -86
-79 83 11
82 -41 57
79 92 87
-4 32 45
-48 55 71
-94 20 99
2 78 17
-67 91 -86
51 60 77
27 -74 33
25 45 -54
-26 -26 100
40 -37 75
-59 63 -10
74 -14 68
95 -24 -88
-85 35 19
52 3 -40
-61 53 20
-62 49 44
73 60 -80
76 63 -25
47 -90 67
77 -32 -51
94 96 -91
10 -80 -63
-19 -26 52
-13 82 99
87 75 -8
21 93 -95
6 -50 -24
99 3 74
29 4 -92
58 82 -48
61 -94 -35
87 -44 28
1 -61 -53
-60 72 -91
22 -45 83
-95 -11 -47
81 36 -74
43 92 28
